City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed,Hotel Name
Nieuw Amsterdam,SR,5.8833,-55.0833,scattered clouds,77,82.42,40,11.5,Villa Nieuw Amsterdam
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,overcast clouds,75,80.51,100,1.81,Casa de Hóspedes do CFRN/5ºBIS
Isangel,VU,-19.55,169.2667,few clouds,65,80.71,20,2.3,Tanna Lodge
Labuhan,ID,-6.8844,112.2051,light rain,84,78.03,100,7.61,No Hotel Found
Diffa,NE,13.3154,12.6113,broken clouds,16,73.18,67,9.01,Hôtel 18
Hirara,JP,24.8,125.2833,overcast clouds,86,73.27,92,14.76,古謝そば屋
Yamandu,SL,7.9362,-11.4928,clear sky,86,73.4,0,1.81,No Hotel Found
Kununurra,AU,-15.7667,128.7333,overcast clouds,88,76.98,96,0.0,ibis Styles Kununurra
Dalby,AU,-27.1833,151.2667,broken clouds,41,70.43,72,5.86,No Hotel Found
Durazno,UY,-33.4131,-56.5006,scattered clouds,42,72.66,50,17.81,No Hotel Found
Christchurch,NZ,-43.5333,172.6333,overcast clouds,83,78.33,99,4.61,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
Soyo,AO,-6.1349,12.3689,light rain,87,77.83,77,6.73,Nempanzu
Talcahuano,CL,-36.7167,-73.1167,clear sky,44,78.48,0,18.41,Club Recreativo Armada de Chile
Nuevo Progreso,MX,23.1667,-97.95,clear sky,46,75.47,1,7.0,No Hotel Found
Hwange,ZW,-18.3693,26.5019,overcast clouds,75,72.43,100,2.95,Baobarb Hotel
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,overcast clouds,69,82.11,90,2.46,Hotel Ayuana
Pacajus,BR,-4.1725,-38.4606,overcast clouds,81,81.75,100,7.56,No Hotel Found
Natitingou,BJ,10.3042,1.3796,broken clouds,16,75.07,74,4.14,Hôtel Rehoboth
Paragominas,BR,-2.9667,-47.4833,light rain,67,80.92,100,3.27,No Hotel Found
Tiarei,PF,-17.5333,-149.3333,overcast clouds,76,86.02,94,16.06,No Hotel Found
Oistins,BB,13.0667,-59.5333,scattered clouds,69,82.49,40,16.11,Little Arches Boutique Hotel
Macia,MZ,-25.0269,33.0989,overcast clouds,87,76.69,99,2.68,No Hotel Found
San Luis,AR,-33.295,-66.3356,clear sky,17,83.3,0,13.53,Hotel Dos Venados
Hualmay,PE,-11.0964,-77.6139,overcast clouds,75,72.68,100,8.93,Kotosh
Mbuguni,TZ,-3.5667,36.95,broken clouds,71,74.82,51,6.44,No Hotel Found
Sabla,NG,12.7525,4.7077,overcast clouds,15,74.46,99,8.48,No Hotel Found
Payo,ID,-3.7508,103.6372,overcast clouds,98,72.52,90,1.97,No Hotel Found
Bull Savanna,JM,17.8868,-77.5902,clear sky,70,78.35,0,13.67,Beach Resort
Quatre Cocos,MU,-20.2078,57.7625,broken clouds,66,76.08,82,12.26,Hotel Sunrise Attitude
Biloela,AU,-24.4167,150.5,scattered clouds,29,75.09,49,6.64,No Hotel Found
Chimore,BO,-16.9833,-65.1333,overcast clouds,73,82.22,100,4.0,No Hotel Found
Pekan,MY,3.4836,103.3996,overcast clouds,90,76.96,100,7.11,Bajet Pesona
Mindelo,CV,16.8901,-24.9804,few clouds,73,74.75,20,32.21,Arla Residencial
Marang,MY,5.2056,103.2059,overcast clouds,85,80.96,100,0.98,Hotel Syahirah
Cap Malheureux,MU,-19.9842,57.6142,broken clouds,74,76.46,81,5.99,Hibiscus
Manaus,BR,-3.1019,-60.025,few clouds,62,88.3,20,5.75,HTSS- Hotel de Trânsito de Subtenentes e Sargentos
Raga,SS,8.4596,25.678,few clouds,21,72.59,13,4.27,No Hotel Found
Tingo Maria,PE,-9.2895,-76.0088,overcast clouds,80,79.9,96,1.59,Hotel Madera Verde
Mount Isa,AU,-20.7333,139.5,broken clouds,12,76.77,70,10.36,Ibis Styles
Bluffton,US,32.2371,-80.8604,scattered clouds,86,71.67,40,8.05,Comfort Suites Bluffton - Hilton Head Island
Banjar,ID,-8.19,114.9675,overcast clouds,90,77.4,100,5.64,Villa Banjar Beach
Hambantota,LK,6.1241,81.1185,few clouds,100,71.94,20,3.44,Peacock Beach hotel Hamabthota
Tessalit,ML,20.1986,1.0114,clear sky,15,73.24,0,10.31,No Hotel Found
Ambilobe,MG,-13.2,49.05,broken clouds,90,74.82,75,1.68,Diagonal Hôtel
Nosy Varika,MG,-20.5833,48.5333,light rain,89,73.98,98,4.81,No Hotel Found
Blackwater,AU,-23.5833,148.8833,scattered clouds,24,77.34,45,8.81,No Hotel Found
San Andres,CO,12.5847,-81.7006,light rain,74,84.22,40,14.97,Guest House
Urubicha,BO,-15.3833,-62.95,overcast clouds,96,74.68,93,3.62,No Hotel Found
Vanimo,PG,-2.6741,141.3028,overcast clouds,88,78.24,97,4.65,Vanimo Surf Lodge
Namatanai,PG,-3.6667,152.4333,broken clouds,76,81.97,61,5.44,Namatanai Hotel
Mayumba,GA,-3.432,10.6554,light rain,86,77.74,76,4.12,Résidence Hôtelière Fabso
Praia,CV,14.9215,-23.5087,clear sky,65,77.54,0,17.27,Gambodjeu Aparthotel
Dzilam Gonzalez,MX,21.2833,-88.9333,clear sky,64,82.62,1,8.25,No Hotel Found
Kismayo,SO,-0.3582,42.5454,clear sky,80,78.17,2,12.88,فندق قييل مواي
Neuquen,AR,-38.9516,-68.0591,clear sky,18,84.09,0,6.91,El Olivo Hotel
Qui Nhon,VN,13.7667,109.2333,overcast clouds,82,72.37,98,10.98,Thanh Linh 2
Werda,BW,-25.2667,23.2833,overcast clouds,63,74.32,97,9.19,No Hotel Found
Coahuayana,MX,18.7333,-103.6833,few clouds,56,81.72,19,6.42,No Hotel Found
Bitung,ID,1.4451,125.1824,overcast clouds,86,76.05,100,7.85,Divers Lodge Lembeh
Pattani,TH,6.75,100.4167,overcast clouds,92,79.43,86,5.01,No Hotel Found
Grand Gaube,MU,-20.0064,57.6608,broken clouds,74,76.37,82,7.0,Hotel Lux- Grand Gaube
Epe,NG,6.5841,3.9834,broken clouds,85,78.3,63,4.85,Epe Resort and Spa
Jasdan,IN,22.0333,71.2,overcast clouds,42,73.15,100,9.08,No Hotel Found
Yantzaza,EC,-3.8278,-78.7594,light rain,70,78.58,84,3.22,Hotel Oriental
Beira,MZ,-19.8436,34.8389,light rain,89,82.49,20,6.91,Hotel Savoy
