City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Lulea,SE,2022-12-15 21:11:39,65.5842,22.1547,3.27,92,0,1.14
176,Burgos,ES,2022-12-15 21:09:51,42.3394,-3.7079,43.21,93,75,10.36
177,Whitley Bay,GB,2022-12-15 21:11:40,55.0397,-1.4471,31.91,88,0,3.44
178,Zalantun,CN,2022-12-15 21:11:40,48.0,122.7167,-9.71,74,8,7.18
179,Castro,BR,2022-12-15 21:11:41,-24.7911,-50.0119,70.63,70,3,4.76
180,Mogzon,RU,2022-12-15 21:11:41,51.7435,111.9606,-11.11,86,67,8.86
181,Sobolevo,RU,2022-12-15 21:11:42,54.4299,31.8996,25.32,92,100,11.99
182,Fayaoue,NC,2022-12-15 21:11:42,-20.65,166.5333,79.68,69,18,10.69
183,Renukut,IN,2022-12-15 21:11:42,24.2,83.0333,53.35,51,5,2.59
184,Rio Grande,BR,2022-12-15 21:11:43,-32.035,-52.0986,78.91,70,100,18.23
185,Catamarca,AR,2022-12-15 21:12:43,-28.4696,-65.7852,93.06,23,21,1.01
186,Montegrotto Terme,IT,2022-12-15 21:12:44,45.3315,11.7912,44.76,96,100,4.0
187,Ormara,PK,2022-12-15 21:12:44,25.2088,64.6357,74.39,44,0,4.85
188,Vila Velha,BR,2022-12-15 21:12:45,-20.3297,-40.2925,75.15,74,75,6.91
189,Hamada,JP,2022-12-15 21:12:45,34.8833,132.0833,46.65,73,100,12.71
190,Bilma,NE,2022-12-15 21:12:45,18.6853,12.9164,71.4,17,7,7.29
191,Luzhou,CN,2022-12-15 21:12:46,28.8724,105.4405,49.68,79,100,3.56
192,Margate,GB,2022-12-15 21:12:46,51.3813,1.3862,37.69,88,14,4.0
193,Sabla,NG,2022-12-15 21:12:47,12.7525,4.7077,75.0,15,99,8.99
194,Katsuura,JP,2022-12-15 21:12:48,35.1333,140.3,46.83,57,27,8.81
195,Oranjemund,,2022-12-15 21:12:48,-28.55,16.4333,68.79,88,0,8.59
196,Shimanovsk,RU,2022-12-15 21:12:48,52.0,127.7,-14.57,87,90,8.88
197,Najran,SA,2022-12-15 21:12:49,17.4924,44.1277,58.44,44,2,0.81
198,Gorontalo,ID,2022-12-15 21:12:50,0.5412,123.0595,74.05,96,100,3.69
199,Perth,AU,2022-12-15 21:10:41,-31.9333,115.8333,62.35,69,0,16.11
200,Walvis Bay,,2022-12-15 21:12:50,-22.9575,14.5053,66.09,89,2,1.36
201,Basco,PH,2022-12-15 21:12:51,20.4487,121.9702,79.43,79,50,20.42
202,Raudeberg,NO,2022-12-15 21:12:51,61.9875,5.1352,29.86,33,100,4.23
203,Manacapuru,BR,2022-12-15 21:12:52,-3.2997,-60.6206,87.26,58,100,3.51
204,San Andres,CO,2022-12-15 21:12:52,12.5847,-81.7006,84.22,74,40,14.97
205,Yarada,IN,2022-12-15 21:12:53,17.65,83.2667,75.78,76,38,2.98
206,Juegang,CN,2022-12-15 21:12:53,32.3174,121.1855,46.98,69,99,9.37
207,Loreto,MX,2022-12-15 21:12:53,22.2667,-101.9667,71.91,11,7,13.44
208,Xiazhen,CN,2022-12-15 21:12:54,34.8022,117.1117,28.9,60,100,6.53
209,Obidos,BR,2022-12-15 21:12:54,-1.9175,-55.5181,86.49,52,100,1.14
210,Oriximina,BR,2022-12-15 21:12:55,-1.7656,-55.8661,86.77,51,99,3.78
211,Roald,NO,2022-12-15 21:12:55,62.5833,6.1333,34.75,86,20,8.05
212,Varberg,SE,2022-12-15 21:12:56,57.1056,12.2508,22.17,80,28,2.95
213,Japura,ID,2022-12-15 21:12:56,-0.3167,102.35,73.67,99,100,0.43
214,Provideniya,RU,2022-12-15 21:12:57,64.3833,-173.3,10.51,79,100,11.18
215,Northam,GB,2022-12-15 21:12:57,51.0333,-4.2167,25.25,80,1,4.7
216,Fairbanks,US,2022-12-15 21:12:58,64.8378,-147.7164,8.56,79,100,14.97
217,La Asuncion,VE,2022-12-15 21:12:58,11.0333,-63.8628,79.25,80,7,17.49
218,Lodja,CD,2022-12-15 21:12:59,-3.4833,23.4333,70.9,84,92,0.85
219,Oussouye,SN,2022-12-15 21:12:59,12.485,-16.5469,74.73,61,18,5.77
220,Nanortalik,GL,2022-12-15 21:12:59,60.1432,-45.2371,20.98,80,65,4.85
221,Xian,CN,2022-12-15 21:08:42,34.2583,108.9286,37.04,37,100,3.04
222,Yar-Sale,RU,2022-12-15 21:13:00,66.8333,70.8333,12.25,89,100,18.52
223,Morondava,MG,2022-12-15 21:13:01,-20.2833,44.2833,79.65,79,9,6.04
224,Astana,KZ,2022-12-15 21:13:01,51.1801,71.446,-4.05,71,0,8.95
225,Palmer,US,2022-12-15 21:08:51,42.1584,-72.3287,39.51,77,100,5.75
226,Fergus Falls,US,2022-12-15 21:11:06,46.283,-96.0776,29.16,95,100,13.8
227,Klaksvik,FO,2022-12-15 21:13:02,62.2266,-6.589,27.52,54,100,10.65
228,Sao Miguel Do Araguaia,BR,2022-12-15 21:14:02,-13.275,-50.1628,76.08,83,99,1.54
229,Ilulissat,GL,2022-12-15 21:14:03,69.2167,-51.1,28.42,93,75,14.97
230,Ca Mau,VN,2022-12-15 21:14:03,9.1769,105.15,73.13,89,57,2.68
231,Narsaq,GL,2022-12-15 21:14:04,60.9167,-46.05,14.22,72,87,6.8
232,East London,ZA,2022-12-15 21:14:04,-33.0153,27.9116,68.99,87,7,3.49
233,Tuktoyaktuk,CA,2022-12-15 21:14:05,69.4541,-133.0374,-10.01,97,17,7.38
234,Sao Felix Do Xingu,BR,2022-12-15 21:14:05,-6.6447,-51.995,80.76,73,81,2.89
235,Jiuquan,CN,2022-12-15 21:14:06,39.7432,98.5174,9.79,87,100,2.91
236,Arlit,NE,2022-12-15 21:14:06,18.7369,7.3853,74.44,15,69,9.89
237,Vrangel,RU,2022-12-15 21:14:07,42.7297,133.0839,7.27,59,1,19.22
238,San Quintin,MX,2022-12-15 21:14:08,30.4833,-115.95,60.64,46,95,5.5
239,Muisne,EC,2022-12-15 21:14:08,0.6,-80.0333,76.48,78,76,9.15
240,Meulaboh,ID,2022-12-15 21:14:09,4.1363,96.1285,76.44,90,100,6.11
241,Caravelas,BR,2022-12-15 21:14:09,-17.7125,-39.2481,67.98,97,100,4.83
242,Kruisfontein,ZA,2022-12-15 21:14:09,-34.0033,24.7314,66.79,90,20,0.36
243,Karpathos,GR,2022-12-15 21:14:10,35.507,27.2132,66.16,94,15,10.36
244,Bafra,TR,2022-12-15 21:14:10,41.5678,35.9069,58.82,89,97,3.49
245,Saint-Augustin,CA,2022-12-15 21:14:11,51.226,-58.6502,30.6,74,81,17.11
246,Vila Franca Do Campo,PT,2022-12-15 21:14:11,37.7167,-25.4333,58.19,70,100,2.98
247,Grindavik,IS,2022-12-15 21:14:12,63.8424,-22.4338,21.67,63,20,25.32
248,Cockburn Town,TC,2022-12-15 21:14:12,21.4612,-71.1419,77.97,66,0,14.45
249,Puerto Del Rosario,ES,2022-12-15 21:14:13,28.5004,-13.8627,65.95,68,20,8.05
250,Ixtapa,MX,2022-12-15 21:14:13,20.7,-105.2,77.23,61,0,9.22
251,Srednekolymsk,RU,2022-12-15 21:14:14,67.45,153.6833,-39.78,100,97,8.28
252,Eyl,SO,2022-12-15 21:14:14,7.9803,49.8164,75.33,78,2,14.83
253,Hasaki,JP,2022-12-15 21:14:15,35.7333,140.8333,30.6,41,5,4.41
254,Ballina,AU,2022-12-15 21:14:15,-28.8667,153.5667,66.02,83,100,3.09
255,Aleksinac,RS,2022-12-15 21:14:16,43.5417,21.7078,43.09,99,100,6.87
256,Port Hardy,CA,2022-12-15 21:14:16,50.6996,-127.4199,39.97,84,100,4.09
257,Skjold,DK,2022-12-15 21:14:17,55.7971,9.9397,19.85,86,12,5.41
258,Saldanha,ZA,2022-12-15 21:14:17,-33.0117,17.9442,70.11,82,47,4.41
259,Hobbs,US,2022-12-15 21:14:18,32.7026,-103.136,53.06,21,0,8.05
260,Abha,SA,2022-12-15 21:14:18,18.2164,42.5053,53.85,76,0,0.0
261,Constitucion,CL,2022-12-15 21:14:19,-35.3333,-72.4167,71.62,55,5,20.31
262,Shimoda,JP,2022-12-15 21:14:19,34.6667,138.95,41.11,71,1,23.06
263,Codrington,AU,2022-12-15 21:14:20,-38.2667,141.9667,55.26,76,100,13.31
264,Tutoia,BR,2022-12-15 21:11:15,-2.7619,-42.2744,80.28,79,100,12.75
265,Suluq,LY,2022-12-15 21:14:20,31.6682,20.2521,66.76,60,7,6.2
266,Okhotsk,RU,2022-12-15 21:14:21,59.3833,143.3,-0.22,66,100,28.97
267,Lorengau,PG,2022-12-15 21:14:21,-2.0226,147.2712,77.99,88,100,3.67
268,Lamu,KE,2022-12-15 21:14:22,-2.2717,40.902,80.82,82,3,8.93
269,Mae Hong Son,TH,2022-12-15 21:14:22,19.3003,97.9685,65.61,94,99,1.72
270,Cherskiy,RU,2022-12-15 21:15:23,68.75,161.3,-44.75,100,61,1.34
271,Nishihara,JP,2022-12-15 21:15:24,26.1842,127.7558,67.28,84,75,12.66
272,Gazojak,TM,2022-12-15 21:11:37,41.1875,61.4036,38.84,61,100,8.16
273,Dhone,IN,2022-12-15 21:15:24,15.4167,77.8833,68.85,67,8,5.55
274,Te Anau,NZ,2022-12-15 21:15:25,-45.4167,167.7167,63.27,82,72,0.56
275,Orlik,RU,2022-12-15 21:15:25,52.5178,99.825,-23.33,93,53,3.4
276,Weligama,LK,2022-12-15 21:15:26,5.9667,80.4167,74.97,87,99,1.59
277,Loukhi,RU,2022-12-15 21:15:26,66.0764,33.0381,13.08,89,98,12.17
278,Akcakoca,TR,2022-12-15 21:15:27,41.0866,31.1162,55.49,90,100,2.15
279,Tiksi,RU,2022-12-15 21:15:27,71.6872,128.8694,-27.92,100,97,2.59
280,Anshun,CN,2022-12-15 21:15:27,26.25,105.9333,38.73,84,100,9.1
281,Portland,US,2022-12-15 21:12:57,45.5234,-122.6762,48.61,72,40,8.99
282,Arshan,RU,2022-12-15 21:15:28,46.2732,44.22,30.58,100,100,11.18
283,Palencia,ES,2022-12-15 21:15:28,42.4167,-4.5,44.92,91,97,11.41
284,Virginia Beach,US,2022-12-15 21:15:10,36.8529,-75.978,59.04,87,100,24.16
285,Adrar,MR,2022-12-15 21:15:29,20.5022,-10.0711,75.85,23,0,7.92
286,Igrim,RU,2022-12-15 21:15:30,63.1906,64.4162,12.34,94,100,9.26
287,Bolkhov,RU,2022-12-15 21:15:30,53.4433,36.0044,25.32,95,100,16.6
288,Flin Flon,CA,2022-12-15 21:15:30,54.7682,-101.865,13.84,79,100,11.5
289,Samarai,PG,2022-12-15 21:15:31,-10.6167,150.6667,81.45,80,84,7.25
290,Pandan,PH,2022-12-15 21:15:31,14.0453,124.1694,79.5,88,86,12.59
291,Bubaque,GW,2022-12-15 21:15:32,11.2833,-15.8333,82.29,61,0,11.77
292,Ketchikan,US,2022-12-15 21:15:32,55.3422,-131.6461,39.18,93,100,0.0
293,Lata,PT,2022-12-15 21:15:33,40.1629,-8.3327,57.81,94,31,5.48
294,Luderitz,,2022-12-15 21:15:33,-26.6481,15.1594,67.05,90,5,1.72
295,Labuhan,ID,2022-12-15 21:15:34,-6.8844,112.2051,78.26,85,100,7.18
296,Manzil Salim,TN,2022-12-15 21:15:34,35.8567,8.4765,58.96,48,0,6.69
